x y function_63
1.786950671903617671e-01 3.251043160897097439e-01 1.076183136257891740e-07
1.650841961032175620e-01 3.273943011056717478e-01 9.667087899292017141e-08
1.771795167204401056e-01 3.474732295752632760e-01 8.673488109366236938e-08
1.718896316467896646e-01 3.262493085976907459e-01 1.022181905200560051e-07
1.711318564118288199e-01 3.374337653404675397e-01 9.139070539582323716e-08
1.779372919554009225e-01 3.362887728324864822e-01 9.641021372608567466e-08
1.786950671903617671e-01 3.251043160897097439e-01 1.076183136257891740e-07
1.726939572141211465e-01 3.126508991049270492e-01 1.214186729159757496e-07
1.650841961032175620e-01 3.273943011056717478e-01 9.667087899292017141e-08
1.756945122022414707e-01 3.188776075973184243e-01 1.140893942440645200e-07
1.688890766586693681e-01 3.200226001052993707e-01 1.086095361783128650e-07
1.718896316467896646e-01 3.262493085976907459e-01 1.022181905200560051e-07
1.863048283012653794e-01 3.103609140889650453e-01 1.353775862147506090e-07
1.803037183250247588e-01 2.979074971041822950e-01 1.620806149348953407e-07
1.726939572141211465e-01 3.126508991049270492e-01 1.214186729159757496e-07
1.833042733131450830e-01 3.041342055965736701e-01 1.476089569465717670e-07
1.764988377695729527e-01 3.052791981045546721e-01 1.406414816679524934e-07
1.794993927576932768e-01 3.115059065969460472e-01 1.286998247013057242e-07
1.939145894121689917e-01 2.956175120882202911e-01 1.804063956234106486e-07
1.879134794359283434e-01 2.831640951034375409e-01 2.367871082514656684e-07
1.803037183250247588e-01 2.979074971041822950e-01 1.620806149348953407e-07
1.909140344240486675e-01 2.893908035958289160e-01 2.054649029123513196e-07
1.841085988804765372e-01 2.905357961038099179e-01 1.964959671670164221e-07
1.871091538685968891e-01 2.967625045962012931e-01 1.719575816740703273e-07
1.992113278619794814e-01 2.831640951034375409e-01 2.439552760870851895e-07
1.932102178857388608e-01 2.707106781186547906e-01 3.576540641733067542e-07
1.879134794359283434e-01 2.831640951034375409e-01 2.367871082514656684e-07
1.962107728738591850e-01 2.769373866110461657e-01 2.933453585287539767e-07
1.905618486608335882e-01 2.769373866110461657e-01 2.905245330804302410e-07
1.935624036489539124e-01 2.831640951034375409e-01 2.418898640419302886e-07
2.045080663117899988e-01 2.707106781186547906e-01 3.554531980488444496e-07
1.988842668468101260e-01 2.655298960503024164e-01 4.067346984133752511e-07
1.932102178857388608e-01 2.707106781186547906e-01 3.576540641733067542e-07
2.016961665793000624e-01 2.681182460922687527e-01 3.798220667313678447e-07
1.960472423662744934e-01 2.681022823771395114e-01 3.818070828656611128e-07
1.988591420987644298e-01 2.707106781186547906e-01 3.601690180482832203e-07
2.101821152728612918e-01 2.652710755538199572e-01 3.849218749517742922e-07
2.045583158078814190e-01 2.602512310748568702e-01 4.772795587369105455e-07
1.988842668468101260e-01 2.655298960503024164e-01 4.067346984133752511e-07
2.073702155403713554e-01 2.627393548466295248e-01 4.287617790135698687e-07
2.017212913273457864e-01 2.629330598659148088e-01 4.377513543698583663e-07
2.045331910598356950e-01 2.654815280260944266e-01 3.985574820964652619e-07
2.158561642339325570e-01 2.590649471106352131e-01 4.530517605467522787e-07
2.102323647689526842e-01 2.543840112851388779e-01 6.241585213502543510e-07
2.045583158078814190e-01 2.602512310748568702e-01 4.772795587369105455e-07
2.130442645014426206e-01 2.566843107823338355e-01 5.383238755951177188e-07
2.073953402884170516e-01 2.574227950048992297e-01 5.399382366772727312e-07
2.102072400209069880e-01 2.598288566403556543e-01 4.674452173223562097e-07
2.179190582077913108e-01 2.526867452962703320e-01 6.480512061545755886e-07
2.122952587428114379e-01 2.484646944945216873e-01 4.731599763151826558e-08
2.102323647689526842e-01 2.543840112851388779e-01 6.241585213502543510e-07
2.151071584753013743e-01 2.505440716919298816e-01 7.001747788942697215e-07
2.112638117558820472e-01 2.514642381155031137e-01 6.393314651824633528e-07
2.140757114883720114e-01 2.536610590264726794e-01 6.394994348411057686e-07
1.786950671903617671e-01 3.251043160897097439e-01 1.076183136257891740e-07
1.907903878075843385e-01 3.451832445593012721e-01 9.247341403712348528e-08
1.771795167204401056e-01 3.474732295752632760e-01 8.673488109366236938e-08
1.847427274989730528e-01 3.351437803245055358e-01 9.932739514773386529e-08
1.839849522640122359e-01 3.463282370672822741e-01 8.970136451404484096e-08
1.779372919554009225e-01 3.362887728324864822e-01 9.641021372608567466e-08
1.863048283012653794e-01 3.103609140889650453e-01 1.353775862147506090e-07
1.786950671903617671e-01 3.251043160897097439e-01 1.076183136257891740e-07
1.726939572141211465e-01 3.126508991049270492e-01 1.214186729159757496e-07
1.824999477458135733e-01 3.177326150893373669e-01 1.209118576974669681e-07
1.756945122022414707e-01 3.188776075973184243e-01 1.140893942440645200e-07
1.794993927576932768e-01 3.115059065969460472e-01 1.286998247013057242e-07
1.939145894121689917e-01 2.956175120882202911e-01 1.804063956234106486e-07
1.863048283012653794e-01 3.103609140889650453e-01 1.353775862147506090e-07
1.803037183250247588e-01 2.979074971041822950e-01 1.620806149348953407e-07
1.901097088567171856e-01 3.029892130885926682e-01 1.563159239248044356e-07
1.833042733131450830e-01 3.041342055965736701e-01 1.476089569465717670e-07
1.871091538685968891e-01 2.967625045962012931e-01 1.719575816740703273e-07
1.992113278619794814e-01 2.831640951034375409e-01 2.439552760870851895e-07
