x y mesh_f
2.059168097764726979e-01 3.205243470195297539e-01 1.000000000000000000e+00
2.271037644917635601e-01 2.707106785808522376e-01 1.000000000000000000e+00
2.649260662284969037e-01 3.291117566885510271e-01 1.000000000000000000e+00
2.165102865026164169e-01 2.956175124230693840e-01 1.000000000000000444e+00
2.460149151211315222e-01 2.999112177372836863e-01 9.999999999999997780e-01
2.354214389017247888e-01 3.248180532709196711e-01 9.999999999999995559e-01
2.271037644917635601e-01 2.707106785808522376e-01 1.000000000000000000e+00
2.649260662284969037e-01 3.291117566885510271e-01 1.000000000000000000e+00
2.707106819681390220e-01 2.707106816696584484e-01 1.000000000000000000e+00
2.460149151211316887e-01 2.999112177372839638e-01 1.000000000000000444e+00
2.678183732690583296e-01 2.999112184897363975e-01 9.999999999999997780e-01
2.489072232383212624e-01 2.707106805810529648e-01 9.999999999999995559e-01
2.649260662284969037e-01 3.291117566885510271e-01 1.000000000000000000e+00
2.707106819681390220e-01 2.707106816696584484e-01 1.000000000000000000e+00
3.104527059273390899e-01 2.905594503874502355e-01 1.000000000000000000e+00
2.678183732690585517e-01 2.999112184897365085e-01 1.000000000000000444e+00
2.905816890723491586e-01 2.806350622270748496e-01 9.999999999999997780e-01
2.876893832244535321e-01 3.098356012516372271e-01 9.999999999999995559e-01
2.059168097764726979e-01 3.205243470195297539e-01 1.000000000000000000e+00
1.514733250218303351e-01 3.296842835364805491e-01 1.000000000000000000e+00
1.998546097087879336e-01 4.100000047550462212e-01 1.000000000000000000e+00
1.786950657719350022e-01 3.251043128349595523e-01 1.000000000000000444e+00
1.756639676519280713e-01 3.698421466149139358e-01 9.999999999999997780e-01
2.028857078720162632e-01 3.652621714861100100e-01 9.999999999999995559e-01
2.059168097764726979e-01 3.205243470195297539e-01 1.000000000000000000e+00
1.819123650382167556e-01 2.707106753949833911e-01 1.000000000000000000e+00
1.514733250218303351e-01 3.296842835364805491e-01 1.000000000000000000e+00
1.939145890287856111e-01 2.956175114516092495e-01 1.000000000000000444e+00
1.666928461253197324e-01 3.001974802904034401e-01 9.999999999999997780e-01
1.786950657719348079e-01 3.251043128349592193e-01 9.999999999999995559e-01
2.271037644917635601e-01 2.707106785808522376e-01 1.000000000000000000e+00
2.046085735991412802e-01 2.353553451961261644e-01 1.000000000000000000e+00
1.819123650382167556e-01 2.707106753949833911e-01 1.000000000000000000e+00
2.158561678044044752e-01 2.530330114373903760e-01 1.000000000000000444e+00
