x y mesh_s
1.786867494703076320e-01 3.251373251423481658e-01 1.000000000000000000e+00
1.650777217820400544e-01 3.274200467027879591e-01 1.000000000000000000e+00
1.771722500291428304e-01 3.475022331007602827e-01 1.000000000000000000e+00
1.718822945137020997e-01 3.262784511198326687e-01 1.000000000000000444e+00
1.711248673732255199e-01 3.374616007425322306e-01 9.999999999999997780e-01
1.779293415743178342e-01 3.363204200830376411e-01 9.999999999999995559e-01
1.786867494703076320e-01 3.251373251423481658e-01 1.000000000000000000e+00
1.650777217820400544e-01 3.274200467027879591e-01 1.000000000000000000e+00
1.726866394001181360e-01 3.126798746382426497e-01 1.000000000000000000e+00
1.718822945137020997e-01 3.262784511198326687e-01 1.000000000000000444e+00
1.688821275604242833e-01 3.200501732208417272e-01 9.999999999999997780e-01
1.756866535317240241e-01 3.189087517916832648e-01 9.999999999999995559e-01
1.862954912771332683e-01 3.103977650128078025e-01 1.000000000000000000e+00
1.726866394001181360e-01 3.126798746382426497e-01 1.000000000000000000e+00
1.802961021672560560e-01 2.979374921242773921e-01 1.000000000000000000e+00
1.794911319866611121e-01 3.115385612361171730e-01 1.000000000000000444e+00
1.764912848548887414e-01 3.053090257954840236e-01 9.999999999999997780e-01
1.832957638928861543e-01 3.041677461044726138e-01 9.999999999999995559e-01
1.939049295124582462e-01 2.956553721390327572e-01 1.000000000000000000e+00
1.802961021672560560e-01 2.979374921242773921e-01 1.000000000000000000e+00
1.879064086190598837e-01 2.831917690845820457e-01 1.000000000000000000e+00
1.871005873975546407e-01 2.967961604635561135e-01 1.000000000000000444e+00
1.841011277969005488e-01 2.905651265053140198e-01 9.999999999999997780e-01
1.909056477965989096e-01 2.894236366134542160e-01 9.999999999999995559e-01
1.992024200674701317e-01 2.831987784010618348e-01 1.000000000000000000e+00
1.879064086190598837e-01 2.831917690845820457e-01 1.000000000000000000e+00
1.932046767953680411e-01 2.707322499012965178e-01 1.000000000000000000e+00
1.935544838667425105e-01 2.831950071959217774e-01 1.000000000000000444e+00
1.905554223185552676e-01 2.769624638508107473e-01 9.999999999999997780e-01
1.962035545927180991e-01 2.769654743703316435e-01 9.999999999999995559e-01
2.045009038097529985e-01 2.707383664691261349e-01 1.000000000000000000e+00
1.932046767953680411e-01 2.707322499012965178e-01 1.000000000000000000e+00
1.988793436456053332e-01 2.655489787178765271e-01 1.000000000000000000e+00
1.988528783315256787e-01 2.707349737001353285e-01 1.000000000000000444e+00
1.960419855617490659e-01 2.681226937892124962e-01 9.999999999999997780e-01
2.016901689640665241e-01 2.681414539988690726e-01 9.999999999999995559e-01
2.101755533444155111e-01 2.652963010372120234e-01 1.000000000000000000e+00
1.988793436456053332e-01 2.655489787178765271e-01 1.000000000000000000e+00
2.045543194183612745e-01 2.602666365474503585e-01 1.000000000000000000e+00
2.045275261768753350e-01 2.655033912583108502e-01 1.000000000000000444e+00
2.017167765989803241e-01 2.629505080211437806e-01 9.999999999999997780e-01
2.073649853265016330e-01 2.627594849154459844e-01 9.999999999999995559e-01
2.158507290481884444e-01 2.590857088522964258e-01 1.000000000000000000e+00
2.045543194183612745e-01 2.602666365474503585e-01 1.000000000000000000e+00
2.102298758308416282e-01 2.543935597626023615e-01 1.000000000000000000e+00
2.102025817721270007e-01 2.598467323281863917e-01 1.000000000000000444e+00
2.073920021056099849e-01 2.574356241646387766e-01 9.999999999999997780e-01
2.130403590008890513e-01 2.566992511278198275e-01 9.999999999999995559e-01
2.179159778782446544e-01 2.526984658041261378e-01 1.000000000000000000e+00
2.102298758308416282e-01 2.543935597626023615e-01 1.000000000000000000e+00
2.122952584994672875e-01 2.484646941531350184e-01 1.000000000000000000e+00
2.140729357803727584e-01 2.536716584610612113e-01 1.000000000000000444e+00
2.112624819541125687e-01 2.514693258671266696e-01 9.999999999999997780e-01
2.151056749228341114e-01 2.505497273968076977e-01 9.999999999999995559e-01
1.786867494703076320e-01 3.251373251423481658e-01 1.000000000000000000e+00
1.907809261223736008e-01 3.452210345075162334e-01 1.000000000000000000e+00
1.771722500291428304e-01 3.475022331007602827e-01 1.000000000000000000e+00
1.847336841510504313e-01 3.351797687275586135e-01 1.000000000000000444e+00
1.839766591144075258e-01 3.463613483021842909e-01 9.999999999999997780e-01
