x y mesh_s
2.707106772383471305e-01 2.099999989095305275e-01 0.000000000000000000e+00
2.707106799414567555e-01 1.900000010944545015e-01 0.000000000000000000e+00
2.539568963819626157e-01 1.899999982288385902e-01 0.000000000000000000e+00
2.707106786352547756e-01 2.000000001678565731e-01 0.000000000000000000e+00
2.623337877097096094e-01 1.899999994648323975e-01 0.000000000000000000e+00
2.623337884761912653e-01 2.000000000544730205e-01 0.000000000000000000e+00
2.524741073474832120e-01 2.100000002029308310e-01 0.000000000000000000e+00
2.707106772383471305e-01 2.099999989095305275e-01 0.000000000000000000e+00
2.539568963819626157e-01 1.899999982288385902e-01 0.000000000000000000e+00
2.615923921478808256e-01 2.099999995748399462e-01 0.000000000000000000e+00
2.623337884761913208e-01 2.000000000544730760e-01 0.000000000000000000e+00
2.532155028574810118e-01 1.999999999441919585e-01 0.000000000000000000e+00
2.524741073474832120e-01 2.100000002029308310e-01 0.000000000000000000e+00
2.539568963819626157e-01 1.899999982288385902e-01 0.000000000000000000e+00
2.353553388734580809e-01 1.899999998691904446e-01 0.000000000000000000e+00
2.532155028574813449e-01 1.999999999441921528e-01 0.000000000000000000e+00
2.446561193653550292e-01 1.900000004055793501e-01 0.000000000000000000e+00
2.439147228905481357e-01 1.999999998620642927e-01 0.000000000000000000e+00
2.524741073474832120e-01 2.100000002029308310e-01 0.000000000000000000e+00
2.353553392082453344e-01 2.100000001077341194e-01 0.000000000000000000e+00
2.353553388734580809e-01 1.899999998691904446e-01 0.000000000000000000e+00
2.439147236066502300e-01 2.100000004112650143e-01 0.000000000000000000e+00
2.353553388339178210e-01 1.999999998310969251e-01 0.000000000000000000e+00
2.439147228905481357e-01 1.999999998620642927e-01 0.000000000000000000e+00
2.897572284575438695e-01 2.099999968781321724e-01 0.000000000000000000e+00
3.147616084636759570e-01 2.099999974674905956e-01 0.000000000000000000e+00
2.897572341414567654e-01 1.900000040483114105e-01 0.000000000000000000e+00
3.022594211534916364e-01 2.099999992616739530e-01 0.000000000000000000e+00
3.022594286980408995e-01 2.000000047777837908e-01 0.000000000000000000e+00
2.897572332143938945e-01 2.000000007936927615e-01 0.000000000000000000e+00
2.897572284575438695e-01 2.099999968781321724e-01 0.000000000000000000e+00
2.707106772383471305e-01 2.099999989095305275e-01 0.000000000000000000e+00
2.897572341414567654e-01 1.900000040483114105e-01 0.000000000000000000e+00
2.802339548397647095e-01 2.099999995719861734e-01 0.000000000000000000e+00
2.802339562140950258e-01 2.000000008002458529e-01 0.000000000000000000e+00
2.897572332143938945e-01 2.000000007936927615e-01 0.000000000000000000e+00
2.707106772383471305e-01 2.099999989095305275e-01 0.000000000000000000e+00
2.707106799414567555e-01 1.900000010944545015e-01 0.000000000000000000e+00
2.897572341414567654e-01 1.900000040483114105e-01 0.000000000000000000e+00
2.707106786352547756e-01 2.000000001678565731e-01 0.000000000000000000e+00
2.802339562525460459e-01 1.900000007790288159e-01 0.000000000000000000e+00
2.802339562140949147e-01 2.000000008002458252e-01 0.000000000000000000e+00
3.872126049008485227e-01 1.899999999280095886e-01 0.000000000000000000e+00
3.872126039779440476e-01 2.099999993034373236e-01 0.000000000000000000e+00
3.468458879292752317e-01 1.899999989932556477e-01 0.000000000000000000e+00
3.872126051000497338e-01 2.000000001430747854e-01 0.000000000000000000e+00
3.670292466202342840e-01 1.999999998677755852e-01 0.000000000000000000e+00
3.670292456285788041e-01 1.899999993487628269e-01 0.000000000000000000e+00
3.872126039779440476e-01 2.099999993034373236e-01 0.000000000000000000e+00
3.468458879292752317e-01 1.899999989932556477e-01 0.000000000000000000e+00
3.468458875224856297e-01 2.099999989880130813e-01 0.000000000000000000e+00
3.670292466202345616e-01 1.999999998677757240e-01 0.000000000000000000e+00
3.468458908252621264e-01 2.000000009181446825e-01 0.000000000000000000e+00
