x y function_11
1.000420000000000059e-01 8.999580000000000357e-01 1.000000000000000000e+00
0.000000000000000000e+00 9.000000000000000222e-01 1.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000056e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.001020000000000021e-01 8.999120000000000452e-01 1.000000000000000000e+00
2.000000000000000111e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000056e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.000420000000000059e-01 8.999580000000000357e-01 1.000000000000000000e+00
1.001250000000000057e-01 7.998760000000000314e-01 1.000000000000000000e+00
0.000000000000000000e+00 8.000000000000000444e-01 1.000000000000000000e+00
0.000000000000000000e+00 9.000000000000000222e-01 1.000000000000000000e+00
1.000420000000000059e-01 8.999580000000000357e-01 1.000000000000000000e+00
3.001559999999999784e-01 8.998890000000000500e-01 1.000000000000000000e+00
2.999999999999999889e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000111e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.001020000000000021e-01 8.999120000000000452e-01 1.000000000000000000e+00
2.002130000000000021e-01 7.998020000000000129e-01 1.000000000000000000e+00
1.001250000000000057e-01 7.998760000000000314e-01 1.000000000000000000e+00
1.000420000000000059e-01 8.999580000000000357e-01 1.000000000000000000e+00
2.001020000000000021e-01 8.999120000000000452e-01 1.000000000000000000e+00
1.002689999999999970e-01 6.997229999999999839e-01 1.000000000000000000e+00
0.000000000000000000e+00 6.999999999999999556e-01 1.000000000000000000e+00
0.000000000000000000e+00 8.000000000000000444e-01 1.000000000000000000e+00
1.001250000000000057e-01 7.998760000000000314e-01 1.000000000000000000e+00
4.003650000000000264e-01 8.998420000000000307e-01 1.000000000000000000e+00
4.000000000000000222e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.999999999999999889e-01 1.000000000000000000e+00 1.000000000000000000e+00
3.001559999999999784e-01 8.998890000000000500e-01 1.000000000000000000e+00
3.006619999999999848e-01 7.995529999999999582e-01 1.000000000000000000e+00
3.001559999999999784e-01 8.998890000000000500e-01 1.000000000000000000e+00
2.001020000000000021e-01 8.999120000000000452e-01 1.000000000000000000e+00
2.002130000000000021e-01 7.998020000000000129e-01 1.000000000000000000e+00
2.006290000000000018e-01 6.994070000000000009e-01 1.000000000000000000e+00
1.002689999999999970e-01 6.997229999999999839e-01 1.000000000000000000e+00
1.001250000000000057e-01 7.998760000000000314e-01 1.000000000000000000e+00
2.002130000000000021e-01 7.998020000000000129e-01 1.000000000000000000e+00
1.005640000000000006e-01 5.993659999999999544e-01 1.000000000000000000e+00
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000000e+00
0.000000000000000000e+00 6.999999999999999556e-01 1.000000000000000000e+00
1.002689999999999970e-01 6.997229999999999839e-01 1.000000000000000000e+00
5.004440000000000000e-01 8.999080000000000412e-01 1.000000000000000000e+00
5.000000000000000000e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000222e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.003650000000000264e-01 8.998420000000000307e-01 1.000000000000000000e+00
4.008619999999999961e-01 7.995729999999999782e-01 1.000000000000000000e+00
4.003650000000000264e-01 8.998420000000000307e-01 1.000000000000000000e+00
3.001559999999999784e-01 8.998890000000000500e-01 1.000000000000000000e+00
3.006619999999999848e-01 7.995529999999999582e-01 1.000000000000000000e+00
3.014229999999999965e-01 6.989469999999999850e-01 1.000000000000000000e+00
2.006290000000000018e-01 6.994070000000000009e-01 1.000000000000000000e+00
2.002130000000000021e-01 7.998020000000000129e-01 1.000000000000000000e+00
3.006619999999999848e-01 7.995529999999999582e-01 1.000000000000000000e+00
2.012349999999999972e-01 5.987470000000000292e-01 1.000000000000000000e+00
1.005640000000000006e-01 5.993659999999999544e-01 1.000000000000000000e+00
1.002689999999999970e-01 6.997229999999999839e-01 1.000000000000000000e+00
2.006290000000000018e-01 6.994070000000000009e-01 1.000000000000000000e+00
1.007580000000000003e-01 4.989859999999999851e-01 1.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e-01 1.000000000000000000e+00
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000000e+00
1.005640000000000006e-01 5.993659999999999544e-01 1.000000000000000000e+00
6.005239999999999467e-01 9.000150000000000095e-01 1.000000000000000000e+00
5.999999999999999778e-01 1.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e-01 1.000000000000000000e+00 1.000000000000000000e+00
5.004440000000000000e-01 8.999080000000000412e-01 1.000000000000000000e+00
1.007539999999999963e-01 3.985759999999999859e-01 1.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000222e-01 1.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e-01 1.000000000000000000e+00
1.007580000000000003e-01 4.989859999999999851e-01 1.000000000000000000e+00
5.012750000000000261e-01 7.997370000000000312e-01 1.000000000000000000e+00
5.004440000000000000e-01 8.999080000000000412e-01 1.000000000000000000e+00
4.003650000000000264e-01 8.998420000000000307e-01 1.000000000000000000e+00
4.008619999999999961e-01 7.995729999999999782e-01 1.000000000000000000e+00
4.027999999999999914e-01 6.986550000000000260e-01 1.000000000000000000e+00
4.008619999999999961e-01 7.995729999999999782e-01 1.000000000000000000e+00
3.006619999999999848e-01 7.995529999999999582e-01 1.000000000000000000e+00
3.014229999999999965e-01 6.989469999999999850e-01 1.000000000000000000e+00
3.032429999999999848e-01 5.973300000000000276e-01 1.000000000000000000e+00
2.012349999999999972e-01 5.987470000000000292e-01 1.000000000000000000e+00
2.006290000000000018e-01 6.994070000000000009e-01 1.000000000000000000e+00
3.014229999999999965e-01 6.989469999999999850e-01 1.000000000000000000e+00
2.020349999999999924e-01 4.974779999999999758e-01 1.000000000000000000e+00
1.007580000000000003e-01 4.989859999999999851e-01 1.000000000000000000e+00
1.005640000000000006e-01 5.993659999999999544e-01 1.000000000000000000e+00
2.012349999999999972e-01 5.987470000000000292e-01 1.000000000000000000e+00
