x y p
1.276104299622991878e+00 3.842280025232497342e-01 1.279464370267175433e+01
1.294657466768487364e+00 4.099999999999999756e-01 1.361016109795748275e+00
1.305505431556036822e+00 3.842280827655790709e-01 -8.407240802858603201e-01
1.285380162738922971e+00 3.971137247320279395e-01 6.887840767984317658e+00
1.300080024277814550e+00 3.971137659838235856e-01 -8.125767495311926325e-01
1.290804909103772768e+00 3.842280205442352714e-01 7.650806959011489994e+00
1.286961273510756731e+00 3.584586009159885234e-01 2.087263313177431101e+01
1.305505431556036822e+00 3.842280827655790709e-01 -8.407240802858603201e-01
1.316671456060256151e+00 3.584658645069206950e-01 4.848082241836938699e+00
1.296232605642634539e+00 3.713429445141048779e-01 1.044732792694114032e+01
1.311086867302917458e+00 3.713466543145167997e-01 1.015815100116436165e+00
1.301816450555438820e+00 3.584621643009699987e-01 1.515151352659861494e+01
1.298137372127944111e+00 3.326991093020761348e-01 3.781704505520503545e+01
1.316671456060256151e+00 3.584658645069206950e-01 4.848082241836938699e+00
1.327850515385016639e+00 3.327062095343956694e-01 1.672404203108610687e+01
1.307403563647406397e+00 3.455820351815506730e-01 2.214436675349618255e+01
1.322259309012467909e+00 3.455857195550247618e-01 1.009185341530938196e+01
1.312994052788525989e+00 3.327025407172876648e-01 3.054238825289962733e+01
1.309327459440343677e+00 3.069420000856698527e-01 5.996770922150767547e+01
1.327850515385016639e+00 3.327062095343956694e-01 1.672404203108610687e+01
1.339043248732343816e+00 3.069490014368786990e-01 2.506030650322407993e+01
1.318588000392361348e+00 3.198236539258239031e-01 4.041629493158146857e+01
1.333445144590952092e+00 3.198273131624922438e-01 2.260857203287458006e+01
1.324185467206523192e+00 3.069453414460240892e-01 4.692178257537281638e+01
1.265258868396986980e+00 4.099999999999999756e-01 1.187326829105210280e+01
1.276104299622991878e+00 3.842280025232497342e-01 1.279464370267175433e+01
1.294657466768487364e+00 4.099999999999999756e-01 1.361016109795748275e+00
1.270680260002058359e+00 3.971136974474936410e-01 1.149790054899633240e+01
1.285380162738922971e+00 3.971137247320279395e-01 6.887840767984317658e+00
1.279958167582737172e+00 4.099999999999999756e-01 8.110289297387533125e+00
1.276104299622991878e+00 3.842280025232497342e-01 1.279464370267175433e+01
1.286961273510756731e+00 3.584586009159885234e-01 2.087263313177431101e+01
1.305505431556036822e+00 3.842280827655790709e-01 -8.407240802858603201e-01
1.281531235697850324e+00 3.713429655402228358e-01 1.589627043598363443e+01
1.296232605642634539e+00 3.713429445141048779e-01 1.044732792694114032e+01
1.290804909103772768e+00 3.842280205442352714e-01 7.650806959011489994e+00
1.286961273510756731e+00 3.584586009159885234e-01 2.087263313177431101e+01
1.298137372127944111e+00 3.326991093020761348e-01 3.781704505520503545e+01
1.316671456060256151e+00 3.584658645069206950e-01 4.848082241836938699e+00
1.292547618447755786e+00 3.455785388139411274e-01 2.806683122824076548e+01
1.307403563647406397e+00 3.455820351815506730e-01 2.214436675349618255e+01
1.301816450555438820e+00 3.584621643009699987e-01 1.515151352659861494e+01
1.298137372127944111e+00 3.326991093020761348e-01 3.781704505520503545e+01
1.309327459440343677e+00 3.069420000856698527e-01 5.996770922150767547e+01
1.327850515385016639e+00 3.327062095343956694e-01 1.672404203108610687e+01
1.303730629709272781e+00 3.198202764502162676e-01 4.940927346663528397e+01
1.318588000392361348e+00 3.198236539258239031e-01 4.041629493158146857e+01
1.312994052788525989e+00 3.327025407172876648e-01 3.054238825289962733e+01
1.309327459440343677e+00 3.069420000856698527e-01 5.996770922150767547e+01
1.339043248732343816e+00 3.069490014368786990e-01 2.506030650322407993e+01
1.320633668854511722e+00 2.812864095525951513e-01 5.633452029156067198e+01
1.324185467206523192e+00 3.069453414460240892e-01 4.692178257537281638e+01
1.329837336434671835e+00 2.941172987832305075e-01 4.553263512558044823e+01
1.314978751656295186e+00 2.941139693545515854e-01 6.245007676838863375e+01
1.265258868396986980e+00 4.099999999999999756e-01 1.187326829105210280e+01
1.276104299622991878e+00 3.842280025232497342e-01 1.279464370267175433e+01
1.246702607412759178e+00 3.842281514398456777e-01 1.517054794623700431e+01
