x y solution_f
1.786886464306274569e-01 3.251181608816625102e-01 2.977246010012561506e+00
1.650808236701168108e-01 3.274012333764285687e-01 2.799228995434951184e+00
1.771730847492594685e-01 3.474871809337993778e-01 2.476264023780401669e+00
1.718847350503721338e-01 3.262596971290455672e-01 2.888761187802713071e+00
1.711269542096881535e-01 3.374442071551139732e-01 2.646521562224134261e+00
1.779308655899434766e-01 3.363026709077309162e-01 2.731914320844742949e+00
1.786886464306274569e-01 3.251181608816625102e-01 2.977246010012561506e+00
1.650808236701168108e-01 3.274012333764285687e-01 2.799228995434951184e+00
1.726898810273501117e-01 3.126597833269339488e-01 3.167445454318930764e+00
1.718847350503721338e-01 3.262596971290455672e-01 2.888761187802713071e+00
1.688853523487334751e-01 3.200305083516812310e-01 2.983884105431712452e+00
1.756892637289887982e-01 3.188889721042982295e-01 3.075820567361294611e+00
1.862974326369783162e-01 3.103771039424724210e-01 3.352672937007338039e+00
1.726898810273501117e-01 3.126597833269339488e-01 3.167445454318930764e+00
1.802992736685164743e-01 2.979163579398429462e-01 3.536831928225272481e+00
1.794936568321642278e-01 3.115184436347031571e-01 3.261792189108901674e+00
1.764945773479332791e-01 3.052880706333884753e-01 3.351164894745523704e+00
1.832983531527473953e-01 3.041467309411576836e-01 3.447669922547167420e+00
1.939067796469397809e-01 2.956348286696267036e-01 3.723399917461323039e+00
1.802992736685164743e-01 2.979163579398429462e-01 3.536831928225272481e+00
1.879091702791359231e-01 2.831736610205615179e-01 3.922320147853052941e+00
1.871030266577281276e-01 2.967755933047347972e-01 3.634444016195109928e+00
1.841042219738261987e-01 2.905450094802022321e-01 3.726376641492067598e+00
1.909079749630378520e-01 2.894042448450940830e-01 3.823006472875400519e+00
1.992042397808709009e-01 2.831790882199866077e-01 4.022893542216022134e+00
1.879091702791359231e-01 2.831736610205615179e-01 3.922320147853052941e+00
1.932062370164340237e-01 2.707240349717561778e-01 4.259232366089683808e+00
1.935567050300034120e-01 2.831763746202740628e-01 3.978717543746944862e+00
1.905577036477849595e-01 2.769488479961588201e-01 4.088445543372487556e+00
1.962052383986524484e-01 2.769515615958714205e-01 4.136492666591219169e+00
2.045019585165722131e-01 2.707230548560552452e-01 4.272393946957893540e+00
1.932062370164340237e-01 2.707240349717561778e-01 4.259232366089683808e+00
1.988804376668225904e-01 2.655776598179117598e-01 4.278082227510554780e+00
1.988540977665031184e-01 2.707235449139057115e-01 4.281945831802146607e+00
1.960433373416283209e-01 2.681508473948339688e-01 4.319896284407434450e+00
2.016911980916973879e-01 2.681503573369835025e-01 4.288169590276551979e+00
2.101762901524864557e-01 2.653348806637489399e-01 3.861745247200969455e+00
1.988804376668225904e-01 2.655776598179117598e-01 4.278082227510554780e+00
2.045551449725681870e-01 2.603526767995549274e-01 3.158476299631801432e+00
2.045283639096545092e-01 2.654562702408303498e-01 4.118114574328061828e+00
2.017177913196953887e-01 2.629651683087333436e-01 3.958675438001887592e+00
2.073657175625273075e-01 2.628437787316519336e-01 3.571201257314173816e+00
2.158517629509607016e-01 2.591229053065131072e-01 1.901935024021878862e+00
2.045551449725681870e-01 2.603526767995549274e-01 3.158476299631801432e+00
2.102305510703532110e-01 2.544860077787232666e-01 7.674586283796741570e-01
2.102034539617644304e-01 2.597377910530340173e-01 2.544444453049036436e+00
2.073928480214606851e-01 2.574193422891390970e-01 1.939518730749980158e+00
2.130411570106569563e-01 2.568044565426181869e-01 1.309053649558199250e+00
2.179161482650015524e-01 2.526997339178204127e-01 2.539145025381062681e-01
2.102305510703532110e-01 2.544860077787232666e-01 7.674586283796741570e-01
2.122952484140351315e-01 2.485321517794242541e-01 7.538372332516221803e-03
2.140733496676773817e-01 2.535928708482718674e-01 4.819748563773866290e-01
2.112628997421941712e-01 2.515090797790737742e-01 1.548108845989158433e-01
2.151056983395183420e-01 2.506159428486223195e-01 4.267445161387542485e-02
1.786886464306274569e-01 3.251181608816625102e-01 2.977246010012561506e+00
1.907797291391070127e-01 3.452067907057075891e-01 2.639590990485702893e+00
1.771730847492594685e-01 3.474871809337993778e-01 2.476264023780401669e+00
1.847341877848672209e-01 3.351624757936850774e-01 2.815922084595595898e+00
1.839764069441832406e-01 3.463469858197534834e-01 2.558691868673916847e+00
1.779308655899434766e-01 3.363026709077309162e-01 2.731914320844742949e+00
1.786886464306274569e-01 3.251181608816625102e-01 2.977246010012561506e+00
1.862974326369783162e-01 3.103771039424724210e-01 3.352672937007338039e+00
1.726898810273501117e-01 3.126597833269339488e-01 3.167445454318930764e+00
1.824930395338028866e-01 3.177476324120674933e-01 3.165700070054890514e+00
1.794936568321642278e-01 3.115184436347031571e-01 3.261792189108899009e+00
1.756892637289887982e-01 3.188889721042982295e-01 3.075820567361294611e+00
1.862974326369783162e-01 3.103771039424724210e-01 3.352672937007338039e+00
1.939067796469397809e-01 2.956348286696267036e-01 3.723399917461323039e+00
1.802992736685164743e-01 2.979163579398429462e-01 3.536831928225272481e+00
1.901021061419590485e-01 3.030059663060495900e-01 3.538541983304491101e+00
1.871030266577281276e-01 2.967755933047347972e-01 3.634444016195107707e+00
1.832983531527473953e-01 3.041467309411576836e-01 3.447669922547167420e+00
1.939067796469397809e-01 2.956348286696267036e-01 3.723399917461323039e+00
1.992042397808709009e-01 2.831790882199866077e-01 4.022893542216022134e+00
1.879091702791359231e-01 2.831736610205615179e-01 3.922320147853052941e+00
1.965555097139053409e-01 2.894069584448066834e-01 3.873683127467188569e+00
1.935567050300034120e-01 2.831763746202740628e-01 3.978717543746943086e+00
1.909079749630378520e-01 2.894042448450940830e-01 3.823006472875400519e+00
1.992042397808709009e-01 2.831790882199866077e-01 4.022893542216022134e+00
2.045019585165722131e-01 2.707230548560552452e-01 4.272393946957893540e+00
1.932062370164340237e-01 2.707240349717561778e-01 4.259232366089683808e+00
2.018530991487215709e-01 2.769510715380208987e-01 4.168637180993406410e+00
1.988540977665031184e-01 2.707235449139057115e-01 4.281945831802143054e+00
1.962052383986524484e-01 2.769515615958714205e-01 4.136492666591219169e+00
2.045019585165722131e-01 2.707230548560552452e-01 4.272393946957893540e+00
2.101762901524864557e-01 2.653348806637489399e-01 3.861745247200969455e+00
1.988804376668225904e-01 2.655776598179117598e-01 4.278082227510554780e+00
2.073391243345293344e-01 2.680289677599020925e-01 4.199546873487635779e+00
2.045283639096545092e-01 2.654562702408303498e-01 4.118114574328058275e+00
2.016911980916973879e-01 2.681503573369835025e-01 4.288169590276551979e+00
2.101762901524864557e-01 2.653348806637489399e-01 3.861745247200969455e+00
2.158517629509607016e-01 2.591229053065131072e-01 1.901935024021878862e+00
2.045551449725681870e-01 2.603526767995549274e-01 3.158476299631801432e+00
2.130140265517235787e-01 2.622288929851310235e-01 3.075863729978244976e+00
2.102034539617644304e-01 2.597377910530340173e-01 2.544444453049034216e+00
2.073657175625273075e-01 2.628437787316519336e-01 3.571201257314173816e+00
2.158517629509607016e-01 2.591229053065131072e-01 1.901935024021878862e+00
2.179161482650015524e-01 2.526997339178204127e-01 2.539145025381062681e-01
2.102305510703532110e-01 2.544860077787232666e-01 7.674586283796741570e-01
2.168839556079811270e-01 2.559113196121667322e-01 9.314735588784237574e-01
2.140733496676773817e-01 2.535928708482718674e-01 4.819748563773862404e-01
2.130411570106569563e-01 2.568044565426181869e-01 1.309053649558199250e+00
2.179161482650015524e-01 2.526997339178204127e-01 2.539145025381062681e-01
2.199827106441337721e-01 2.458317042777649342e-01 6.866164279415717248e-03
2.122952484140351315e-01 2.485321517794242541e-01 7.538372332516221803e-03
2.189494294545676623e-01 2.492657190977926596e-01 4.980493024173482386e-02
2.161389795290844518e-01 2.471819280285945941e-01 -1.533003128705701275e-03
2.151056983395183420e-01 2.506159428486223195e-01 4.267445161387542485e-02
1.907797291391070127e-01 3.452067907057075891e-01 2.639590990485702893e+00
1.771730847492594685e-01 3.474871809337993778e-01 2.476264023780401669e+00
1.892661804259240799e-01 3.675713242764575006e-01 2.094019675418179460e+00
1.839764069441832406e-01 3.463469858197534834e-01 2.558691868673919512e+00
1.832196325875917742e-01 3.575292526051284669e-01 2.291413085033231045e+00
1.900229547825155463e-01 3.563890574910825171e-01 2.371795877177991230e+00
1.786886464306274569e-01 3.251181608816625102e-01 2.977246010012561506e+00
1.907797291391070127e-01 3.452067907057075891e-01 2.639590990485702893e+00
1.922951697176462638e-01 3.228380806942036663e-01 3.147066925401734050e+00
1.847341877848672209e-01 3.351624757936850774e-01 2.815922084595595898e+00
1.915374494283766382e-01 3.340224356999555999e-01 2.897811919105793166e+00
1.854919080741368465e-01 3.239781207879330882e-01 3.063641112527578425e+00
1.786886464306274569e-01 3.251181608816625102e-01 2.977246010012561506e+00
1.862974326369783162e-01 3.103771039424724210e-01 3.352672937007338039e+00
1.922951697176462638e-01 3.228380806942036663e-01 3.147066925401734050e+00
1.824930395338028866e-01 3.177476324120674933e-01 3.165700070054890514e+00
1.892963011773122761e-01 3.166075923183380159e-01 3.252347031107921449e+00
1.854919080741368465e-01 3.239781207879330882e-01 3.063641112527578425e+00
1.862974326369783162e-01 3.103771039424724210e-01 3.352672937007338039e+00
1.939067796469397809e-01 2.956348286696267036e-01 3.723399917461323039e+00
1.999034086840252855e-01 3.080981451541364158e-01 3.518570638441130161e+00
1.901021061419590485e-01 3.030059663060495900e-01 3.538541983304491101e+00
1.969050941654825193e-01 3.018664869118815597e-01 3.622228167654517161e+00
1.931004206605018148e-01 3.092376245483043906e-01 3.438637285169486191e+00
1.939067796469397809e-01 2.956348286696267036e-01 3.723399917461323039e+00
1.992042397808709009e-01 2.831790882199866077e-01 4.022893542216022134e+00
2.052002532036939497e-01 2.956446312979010282e-01 3.810061163004191620e+00
1.965555097139053409e-01 2.894069584448066834e-01 3.873683127467188569e+00
2.022022464922824114e-01 2.894118597589437902e-01 3.915359932982714675e+00
1.995535164253168792e-01 2.956397299837638659e-01 3.770162479094031571e+00
1.992042397808709009e-01 2.831790882199866077e-01 4.022893542216022134e+00
2.045019585165722131e-01 2.707230548560552452e-01 4.272393946957893540e+00
2.104979406964509192e-01 2.831886871482030554e-01 4.080864131609896361e+00
2.018530991487215709e-01 2.769510715380208987e-01 4.168637180993406410e+00
2.074999496065115800e-01 2.769558710021291503e-01 4.187270544119319204e+00
2.048510902386609100e-01 2.831838876840948593e-01 4.056274498013059393e+00
2.045019585165722131e-01 2.707230548560552452e-01 4.272393946957893540e+00
2.101762901524864557e-01 2.653348806637489399e-01 3.861745247200969455e+00
2.157965387103986388e-01 2.707363610385208896e-01 4.154239789865792787e+00
