x y function_69
1.786866557184990101e-01 3.251376625511774310e-01 2.976806971564872395e+00
1.650776790118810566e-01 3.274201420362382042e-01 2.798806772801341491e+00
1.771721816180147346e-01 3.475025333883851042e-01 2.475899246167245771e+00
1.718821673651900195e-01 3.262789022937078176e-01 2.888327293452031430e+00
1.711249303149479095e-01 3.374613377123116820e-01 2.646115029256244533e+00
1.779294186682568724e-01 3.363200979697812398e-01 2.731507401495404608e+00
1.786866557184990101e-01 3.251376625511774310e-01 2.976806971564872395e+00
1.650776790118810566e-01 3.274201420362382042e-01 2.798806772801341491e+00
1.726866310444534203e-01 3.126801444561482235e-01 3.166996825639174507e+00
1.718821673651900195e-01 3.262789022937078176e-01 2.888327293452031430e+00
1.688821550281672246e-01 3.200501432461931861e-01 2.983447016416699960e+00
1.756866433814762152e-01 3.189089035036628550e-01 3.075371346157160346e+00
1.862954908427631728e-01 3.103978376949717566e-01 3.352207400222500855e+00
1.726866310444534203e-01 3.126801444561482235e-01 3.166996825639174507e+00
1.802960728528068823e-01 2.979369390647141347e-01 3.536369470265881443e+00
1.794910609436082827e-01 3.115389910755599900e-01 3.261330966331887460e+00
1.764913519486301374e-01 3.053085417604312068e-01 3.350707718594698736e+00
1.832957818477850276e-01 3.041673883798429179e-01 3.447200164027842462e+00
1.939048737816398138e-01 2.956557491176461383e-01 3.722926412266259977e+00
1.802960728528068823e-01 2.979369390647141347e-01 3.536369470265881443e+00
1.879064181103912712e-01 2.831919769580535373e-01 3.921866145352149946e+00
1.871004733172233481e-01 2.967963440911801642e-01 3.633970281436720295e+00
1.841012454815990629e-01 2.905644580113838638e-01 3.725913635085653208e+00
1.909056459460155564e-01 2.894238630378498378e-01 3.822536988680731440e+00
1.992023971942719907e-01 2.831982551537906012e-01 4.022447620043443806e+00
1.879064181103912712e-01 2.831919769580535373e-01 3.921866145352149946e+00
1.932045836831520202e-01 2.707371485558626167e-01 4.258876174511766699e+00
1.935544076523316170e-01 2.831951160559220693e-01 3.978262975670929791e+00
1.905555008967716457e-01 2.769645627569580770e-01 4.088013947029394579e+00
1.962034904387119916e-01 2.769677018548266090e-01 4.136072395356192644e+00
2.045009766600640044e-01 2.707370207775512960e-01 4.272296024187405727e+00
1.932045836831520202e-01 2.707371485558626167e-01 4.258876174511766699e+00
1.988792778049250365e-01 2.655884260785184581e-01 4.278427646045336097e+00
1.988527801716080123e-01 2.707370846667069841e-01 4.281678196567597183e+00
1.960419307440385284e-01 2.681627873171905652e-01 4.319710161299671114e+00
2.016901272324945205e-01 2.681627234280348770e-01 4.288254396101653043e+00
2.101754960189426980e-01 2.653474238751135084e-01 3.863532611285356744e+00
1.988792778049250365e-01 2.655884260785184581e-01 4.278427646045336097e+00
2.045542994504104262e-01 2.603611515008102950e-01 3.161039322867406298e+00
2.045273869119338672e-01 2.654679249768159832e-01 4.119076907549009903e+00
2.017167886276677313e-01 2.629747887896644043e-01 3.960102792841078578e+00
2.073648977346765621e-01 2.628542876879619294e-01 3.573508154475411480e+00
2.158508489883836645e-01 2.591336576656930735e-01 1.905403658373901576e+00
2.045542994504104262e-01 2.603611515008102950e-01 3.161039322867406298e+00
2.102300318133599188e-01 2.544911125263472629e-01 7.689377107286643476e-01
2.102025742193970315e-01 2.597474045832516842e-01 2.547601957406709694e+00
2.073921656318851725e-01 2.574261320135787789e-01 1.942143304952490324e+00
2.130404404008717778e-01 2.568123850960201682e-01 1.311602260374310491e+00
2.179154073107091305e-01 2.527063236628406262e-01 2.548479767278086783e-01
2.102300318133599188e-01 2.544911125263472629e-01 7.689377107286643476e-01
2.122952368255153210e-01 2.485322573144461422e-01 7.562948183167566077e-03
2.140727195620345247e-01 2.535987180945939445e-01 4.832148299626680132e-01
2.112626343194376199e-01 2.515116849203967164e-01 1.552115766257234908e-01
2.151053220681122258e-01 2.506192904886433981e-01 4.289887226480888077e-02
1.786866557184990101e-01 3.251376625511774310e-01 2.976806971564872395e+00
1.907808800464041721e-01 3.452212146432640516e-01 2.639259223279682320e+00
1.771721816180147346e-01 3.475025333883851042e-01 2.475899246167245771e+00
1.847337678824516050e-01 3.351794385972207690e-01 2.815523414722956641e+00
1.839765308322094395e-01 3.463618740158245779e-01 2.558338377955001963e+00
1.779294186682568724e-01 3.363200979697812398e-01 2.731507401495404608e+00
1.786866557184990101e-01 3.251376625511774310e-01 2.976806971564872395e+00
1.862954908427631728e-01 3.103978376949717566e-01 3.352207400222500855e+00
1.726866310444534203e-01 3.126801444561482235e-01 3.166996825639174507e+00
1.824910732806310776e-01 3.177677501230745660e-01 3.165246052458706938e+00
1.794910609436082827e-01 3.115389910755599900e-01 3.261330966331884795e+00
1.756866433814762152e-01 3.189089035036628550e-01 3.075371346157160346e+00
1.862954908427631728e-01 3.103978376949717566e-01 3.352207400222500855e+00
1.939048737816398138e-01 2.956557491176461383e-01 3.722926412266259977e+00
1.802960728528068823e-01 2.979369390647141347e-01 3.536369470265881443e+00
1.901001823122014933e-01 3.030267934063089474e-01 3.538069090888737112e+00
1.871004733172233481e-01 2.967963440911801642e-01 3.633970281436718075e+00
1.832957818477850276e-01 3.041673883798429179e-01 3.447200164027842462e+00
1.939048737816398138e-01 2.956557491176461383e-01 3.722926412266259977e+00
1.992023971942719907e-01 2.831982551537906012e-01 4.022447620043443806e+00
1.879064181103912712e-01 2.831919769580535373e-01 3.921866145352149946e+00
1.965536354879559022e-01 2.894270021357183698e-01 3.873217080403213775e+00
1.935544076523316170e-01 2.831951160559220693e-01 3.978262975670927126e+00
1.909056459460155564e-01 2.894238630378498378e-01 3.822536988680731440e+00
1.992023971942719907e-01 2.831982551537906012e-01 4.022447620043443806e+00
2.045009766600640044e-01 2.707370207775512960e-01 4.272296024187405727e+00
1.932045836831520202e-01 2.707371485558626167e-01 4.258876174511766699e+00
2.018516869271679837e-01 2.769676379656709209e-01 4.168239755512651357e+00
1.988527801716080123e-01 2.707370846667069841e-01 4.281678196567593631e+00
1.962034904387119916e-01 2.769677018548266090e-01 4.136072395356192644e+00
2.045009766600640044e-01 2.707370207775512960e-01 4.272296024187405727e+00
2.101754960189426980e-01 2.653474238751135084e-01 3.863532611285356744e+00
1.988792778049250365e-01 2.655884260785184581e-01 4.278427646045336097e+00
2.073382363395033512e-01 2.680422223263324022e-01 4.200074542579613102e+00
2.045273869119338672e-01 2.654679249768159832e-01 4.119076907549007238e+00
2.016901272324945205e-01 2.681627234280348770e-01 4.288254396101653043e+00
2.101754960189426980e-01 2.653474238751135084e-01 3.863532611285356744e+00
2.158508489883836645e-01 2.591336576656930735e-01 1.905403658373901576e+00
2.045542994504104262e-01 2.603611515008102950e-01 3.161039322867406298e+00
2.130131725036631951e-01 2.622405407704032632e-01 3.079067890274530317e+00
2.102025742193970315e-01 2.597474045832516842e-01 2.547601957406707918e+00
2.073648977346765621e-01 2.628542876879619294e-01 3.573508154475411480e+00
2.158508489883836645e-01 2.591336576656930735e-01 1.905403658373901576e+00
2.179154073107091305e-01 2.527063236628406262e-01 2.548479767278086783e-01
2.102300318133599188e-01 2.544911125263472629e-01 7.689377107286643476e-01
2.168831281495464114e-01 2.559199906642668498e-01 9.338189744015499283e-01
2.140727195620345247e-01 2.535987180945939445e-01 4.832148299626675136e-01
2.130404404008717778e-01 2.568123850960201682e-01 1.311602260374310491e+00
2.179154073107091305e-01 2.527063236628406262e-01 2.548479767278086783e-01
2.199826264023411748e-01 2.458320471183552403e-01 6.894863755368027883e-03
2.122952368255153210e-01 2.485322573144461422e-01 7.562948183167566077e-03
2.189490168565251527e-01 2.492691853905979471e-01 4.972034397158265479e-02
2.161389316139282479e-01 2.471821522164006912e-01 -1.572809560014892631e-03
2.151053220681122258e-01 2.506192904886433981e-01 4.289887226480888077e-02
1.907808800464041721e-01 3.452212146432640516e-01 2.639259223279682320e+00
1.771721816180147346e-01 3.475025333883851042e-01 2.475899246167245771e+00
1.892677927163358143e-01 3.675804711606015518e-01 2.093790887984123827e+00
1.839765308322094395e-01 3.463618740158245779e-01 2.558338377955003740e+00
1.832199871671752744e-01 3.575415022744933280e-01 2.291110350918100114e+00
1.900243363813700070e-01 3.564008429019328017e-01 2.371515110030007811e+00
1.786866557184990101e-01 3.251376625511774310e-01 2.976806971564872395e+00
1.907808800464041721e-01 3.452212146432640516e-01 2.639259223279682320e+00
1.922951094353349821e-01 3.228572090682056417e-01 3.146645014018059960e+00
1.847337678824516050e-01 3.351794385972207690e-01 2.815523414722956641e+00
1.915379947408695771e-01 3.340392118557348189e-01 2.897432130054687693e+00
1.854908825769169822e-01 3.239974358096915363e-01 3.063205404093473749e+00
1.786866557184990101e-01 3.251376625511774310e-01 2.976806971564872395e+00
1.862954908427631728e-01 3.103978376949717566e-01 3.352207400222500855e+00
1.922951094353349821e-01 3.228572090682056417e-01 3.146645014018059960e+00
1.824910732806310776e-01 3.177677501230745660e-01 3.165246052458706938e+00
1.892953001390490775e-01 3.166275233815887269e-01 3.251897524572250120e+00
1.854908825769169822e-01 3.239974358096915363e-01 3.063205404093473749e+00
1.862954908427631728e-01 3.103978376949717566e-01 3.352207400222500855e+00
1.939048737816398138e-01 2.956557491176461383e-01 3.722926412266259977e+00
1.999036953962553542e-01 3.081181356192752019e-01 3.518128970344937212e+00
1.901001823122014933e-01 3.030267934063089474e-01 3.538069090888737112e+00
1.969042845889475979e-01 3.018869423684606978e-01 3.621763598479875945e+00
1.930995931195092497e-01 3.092579866571234515e-01 3.438177697245635489e+00
1.939048737816398138e-01 2.956557491176461383e-01 3.722926412266259977e+00
1.992023971942719907e-01 2.831982551537906012e-01 4.022447620043443806e+00
2.052002528347642851e-01 2.956651693177135276e-01 3.809615905638084499e+00
1.965536354879559022e-01 2.894270021357183698e-01 3.873217080403213775e+00
2.022013250145181518e-01 2.894317122357520367e-01 3.914905815745665763e+00
1.995525633082020356e-01 2.956604592176798052e-01 3.769698530205667364e+00
1.992023971942719907e-01 2.831982551537906012e-01 4.022447620043443806e+00
2.045009766600640044e-01 2.707370207775512960e-01 4.272296024187405727e+00
2.104976953211761537e-01 2.832082025630831001e-01 4.080456996557581206e+00
2.018516869271679837e-01 2.769676379656709209e-01 4.168239755512651357e+00
2.074993359906200929e-01 2.769726116703171703e-01 4.186912657837060792e+00
2.048500462577240722e-01 2.832032288584368507e-01 4.055844779307715697e+00
2.045009766600640044e-01 2.707370207775512960e-01 4.272296024187405727e+00
2.101754960189426980e-01 2.653474238751135084e-01 3.863532611285356744e+00
2.157964096387007535e-01 2.707520242712950220e-01 4.154805231391832443e+00
2.073382363395033512e-01 2.680422223263324022e-01 4.200074542579613102e+00
2.129859528288217119e-01 2.680497240732042652e-01 4.050981065925902236e+00
2.101486931493823929e-01 2.707445225244231590e-01 4.229705534087027985e+00
2.101754960189426980e-01 2.653474238751135084e-01 3.863532611285356744e+00
2.158508489883836645e-01 2.591336576656930735e-01 1.905403658373901576e+00
2.214710703221118293e-01 2.643864630717501218e-01 3.091920869869204225e+00
2.130131725036631951e-01 2.622405407704032632e-01 3.079067890274530317e+00
2.186609596552477330e-01 2.617600603687215699e-01 2.514358629191188133e+00
2.158232831705272636e-01 2.648669434734318151e-01 3.516060860415163969e+00
2.158508489883836645e-01 2.591336576656930735e-01 1.905403658373901576e+00
2.179154073107091305e-01 2.527063236628406262e-01 2.548479767278086783e-01
2.235356483362379854e-01 2.575189163619912569e-01 1.101330785570942217e+00
2.168831281495464114e-01 2.559199906642668498e-01 9.338189744015499283e-01
2.207255278234735441e-01 2.551126200124159693e-01 6.135095938196323262e-01
2.196932486623108249e-01 2.583262870138421929e-01 1.486151135673310364e+00
2.179154073107091305e-01 2.527063236628406262e-01 2.548479767278086783e-01
2.199826264023411748e-01 2.458320471183552403e-01 6.894863755368027883e-03
2.256046860814554245e-01 2.501012180561215104e-01 8.331951883382758550e-02
2.189490168565251527e-01 2.492691853905979471e-01 4.972034397158265479e-02
2.227936562418982858e-01 2.479666325872383892e-01 1.024113919018995317e-01
2.217600466960822914e-01 2.514037708594810683e-01 1.032394412372142772e-01
1.907808800464041721e-01 3.452212146432640516e-01 2.639259223279682320e+00
2.028766611010401344e-01 3.652986338327319782e-01 2.250224455359457920e+00
1.892677927163358143e-01 3.675804711606015518e-01 2.093790887984123827e+00
1.968287705737221671e-01 3.552599242379980149e-01 2.450313950387449591e+00
1.960722269086879743e-01 3.664395524966667650e-01 2.172845828285562941e+00
1.900243363813700070e-01 3.564008429019328017e-01 2.371515110030007811e+00
1.907808800464041721e-01 3.452212146432640516e-01 2.639259223279682320e+00
1.922951094353349821e-01 3.228572090682056417e-01 3.146645014018059960e+00
2.043889378164261139e-01 3.429425239819202109e-01 2.794495724335070541e+00
1.915379947408695771e-01 3.340392118557348189e-01 2.897432130054689914e+00
1.983420236258805480e-01 3.328998665250629263e-01 2.976641735179479387e+00
1.975849089314151430e-01 3.440818693125921035e-01 2.718115585116424260e+00
1.862954908427631728e-01 3.103978376949717566e-01 3.352207400222500855e+00
1.922951094353349821e-01 3.228572090682056417e-01 3.146645014018059960e+00
