x y velocity
8.804793892937079480e-01 3.900338102502638460e-01 2.437154703399574407e-01
9.003713521123548613e-01 3.900374057014563967e-01 2.752623627534639961e-01
8.999999999979338972e-01 4.100000000002384515e-01 2.591509562571870685e-03
8.799999999993700639e-01 4.100000000001125522e-01 1.159873616747704797e-02
8.904228645352720850e-01 3.900354227455730127e-01 2.602179590016773791e-01
9.001913779513152081e-01 4.000293428520233507e-01 8.881975686226943612e-02
8.899999999998313704e-01 4.100000000000219025e-01 8.464220993114838359e-03
8.802482416071304439e-01 4.000298041212934086e-01 5.559678581610936338e-02
8.902184589012980265e-01 4.000294480357620697e-01 7.254756714197306555e-02
8.804793892937079480e-01 3.900338102502638460e-01 2.437154703399574407e-01
9.003713521123548613e-01 3.900374057014563967e-01 2.752623627534639961e-01
9.006814278750766567e-01 3.699985370309957222e-01 8.571346589532224947e-01
8.808731596761255611e-01 3.699758167520647012e-01 8.517794816311321515e-01
8.904228645352720850e-01 3.900354227455730127e-01 2.602179590016773791e-01
9.005358405320748050e-01 3.800263484619773591e-01 5.270550831938198844e-01
8.907730205954487168e-01 3.699870129657288342e-01 8.544997867948096459e-01
8.806889314253412149e-01 3.800148227693123104e-01 5.091714184463069781e-01
8.906089096644892456e-01 3.800203933663748312e-01 5.181570338386727315e-01
8.804793892937079480e-01 3.900338102502638460e-01 2.437154703399574407e-01
8.606084489619711952e-01 3.900321219673849038e-01 2.121274993839823708e-01
8.599999999971780218e-01 4.100000000005282197e-01 2.911263508271414845e-03
8.799999999993700639e-01 4.100000000001125522e-01 1.159873616747704797e-02
8.705411783588298258e-01 3.900326667470227493e-01 2.271690356675202249e-01
8.603164822222241215e-01 4.000314562037259880e-01 2.802870791566651129e-02
8.699999999988125010e-01 4.100000000002055334e-01 9.010881245313663579e-03
8.802482416071304439e-01 4.000298041212934086e-01 5.559678581610936338e-02
8.702808729344112537e-01 4.000304546622491797e-01 4.007804677452952991e-02
8.808731596761255611e-01 3.699758167520647012e-01 8.517794816311321515e-01
9.006814278750766567e-01 3.699985370309957222e-01 8.571346589532224947e-01
9.009054227727568698e-01 3.499027749922238861e-01 1.636756608956007719e+00
8.811545858548553989e-01 3.498501061091498499e-01 1.627620767813309666e+00
8.907730205954487168e-01 3.699870129657288342e-01 8.544997867948096459e-01
9.008053411349060680e-01 3.599564767698372192e-01 1.245458076343196607e+00
8.910246089196085517e-01 3.498764207768163548e-01 1.632409229597158840e+00
8.810291245747163824e-01 3.599198650457627324e-01 1.245303481690037906e+00
8.909123231815732069e-01 3.599380671022028300e-01 1.245611102217829114e+00
8.804793892937079480e-01 3.900338102502638460e-01 2.437154703399574407e-01
8.606084489619711952e-01 3.900321219673849038e-01 2.121274993839823708e-01
8.611005332011043567e-01 3.699554709771941119e-01 8.475547010270201298e-01
8.808731596761255611e-01 3.699758167520647012e-01 8.517794816311321515e-01
8.705411783588298258e-01 3.900326667470227493e-01 2.271690356675202249e-01
8.608710892788047353e-01 3.800055698632318069e-01 4.925084421648798227e-01
8.709822263283688581e-01 3.699651998214302240e-01 8.493337700266998525e-01
8.806889314253412149e-01 3.800148227693123104e-01 5.091714184463069781e-01
8.707762324393845121e-01 3.800098134509329872e-01 5.004883442567341634e-01
8.606084489619711952e-01 3.900321219673849038e-01 2.121274993839823708e-01
8.407600504615665438e-01 3.900334064167972903e-01 1.891365909419330249e-01
8.400000000003682299e-01 4.099999999999982547e-01 -9.950688828819448037e-03
8.599999999971780218e-01 4.100000000005282197e-01 2.911263508271414845e-03
8.506813722253653287e-01 3.900323105240982580e-01 1.992291247791568853e-01
8.403970266840641301e-01 4.000347523371156067e-01 1.742273200389643853e-02
8.499999999999249267e-01 4.100000000000169620e-01 -4.273997359451847493e-03
8.603164822222241215e-01 4.000314562037259880e-01 2.802870791566651129e-02
8.503551760046745844e-01 4.000328656672795247e-01 2.003497199135180484e-02
8.811545858548553989e-01 3.498501061091498499e-01 1.627620767813309666e+00
9.009054227727568698e-01 3.499027749922238861e-01 1.636756608956007719e+00
9.010283808064786237e-01 3.297711149665084607e-01 2.237142479780489523e+00
